No.	Teks Customer Feedback
1	"Aromanya unik banget! Campuran woody dan sedikit citrus-nya mewah, nggak pasaran."
2	"Eeeh, baunya terlalu manis buat saya. Agak enek kalau dipakai di cuaca panas."
3	"Baunya lumayan, tapi mirip parfum yang sudah ada di pasaran. Kurang ada kejutan."
4	"Daya tahannya gila! Semprot pagi, sore masih kecium jelas di baju. Worth the price!"
5	"Kecewa banget, longevity-nya cuma 2 jam. Setelah itu hilang total. Padahal suka baunya."
6	"Sillage-nya pas, nggak terlalu nyegrak tapi orang di sekitar masih bisa notice. Sempurna!"
7	"Baunya cuma kecium kalau dideketin banget. Kayaknya cuma cocok buat di ruangan AC."
8	"Tolong perkuat sedikit aroma patchouli-nya di fase dry down. Biar lebih berkarakter."
9	"Untuk parfum unisex, menurut saya ini terlalu floral. Kurang sentuhan musk."
10	"Aroma awalnya segar, tapi aroma akhirnya (base note) kurang berkesan."
11	"Parfum ini bikin saya pusing setelah beberapa jam pemakaian. Ada kandungan yang terlalu kuat."
12	"Akhirnya nemu parfum yang cocok buat dipakai ngantor. Wanginya profesional dan elegan."
13	"Parfum yang cukup aman, tidak buruk, tapi juga tidak membuat saya ingin beli lagi."
14	"Aromanya kayak sabun mandi murah. Jauh dari ekspektasi harga segitu."
15	"Bau vanilla-nya soft dan nggak bikin enek. Cocok banget buat tidur!"
16	"Botolnya cantik banget, minimalis dan tutupnya kokoh. Aetheria terlihat premium."
17	"Botolnya terlalu berat dan besar, susah dibawa di tas kecil. Kurang praktis."
18	"Kotaknya biasa aja, tapi desain botolnya lumayan. Tapi atomizernya agak macet."
19	"Kemasannya mudah pecah! Baru jatuh sedikit langsung retak. Kualitas bahan kurang."
20	"Suka dengan warna cairannya yang keemasan. Terlihat mahal."
21	"Kenapa labelnya pakai stiker? Kurang elegan. Saran: diukir saja di botolnya."
22	"Dengan kualitas dan ketahanan seperti ini, harganya sangat terjangkau. Value-nya tinggi."
23	"Terlalu mahal untuk parfum dengan daya tahan yang hanya 2 jam. Mending beli yang lain."
24	"Harganya standar, tidak murah tidak mahal. Kualitasnya juga standar."
25	"Dapat bonus pouch kecil, jadi berasa lebih untung. Packaging dan isinya seimbang."
26	"Diskonnya kurang menarik. Harusnya ada bundling dengan ukuran kecil."
27	"Pengiriman cepat dan aman, dibungkus bubble wrap tebal. Layanan bintang lima."
28	"Proses klaim barang pecah lama sekali. CS lambat merespons email."
29	"Tidak ada sampel gratis, padahal saya beli dua botol. Sedikit kecewa."
30	"Admin sangat ramah, membantu memilih aroma yang cocok berdasarkan kepribadian."
31	"Parfum ini cocok banget buat first date! Pacar saya langsung suka."
32	"Saya alergi dengan kandungan di parfum ini. Kulit jadi gatal dan merah."
33	"Botol tester yang dikirim baunya beda dengan botol utuh yang saya beli. Ada masalah di produksi?"
34	"Mau coba dulu yang ukuran kecil. Kalau cocok, baru beli yang besar."
35	"Parfum ini nggak cocok dipakai di iklim tropis. Baunya jadi asam."
36	"Selalu dapat pujian kalau pakai Aetheria. Signature scent baru saya!"
37	"Desainnya minimalis, cocok buat koleksi. Kualitas semprotannya bagus."
38	"Baunya langsung menusuk hidung saat disemprot, padahal cuma sedikit."
39	"Lumayan, tapi tidak se-hype yang dibilang influencer."
40	"Aroma sandalwood dan amber-nya benar-benar terasa mahal."
41	"Harga refill-nya harus lebih murah. Ini terlalu mahal."
42	"Tolong tambahkan opsi travel size (10ml) agar mudah dibawa bepergian."
43	"Akhirnya nemu parfum yang cruelty-free tapi wanginya tahan lama."
44	"Website sering error saat mau checkout, harus coba berkali-kali."
45	"Parfum ini lebih cocok buat pria, padahal diklaim unisex."
46	"Pelayanannya ramah banget, proses retur karena botol pecah sangat mudah."
47	"Kenapa stok cepat habis? Saya sudah menunggu dua minggu."
48	"Saya suka filosofi di balik nama Aetheria. Sangat mendalam."
49	"Baunya hilang setelah saya berkeringat. Tidak cocok untuk aktivitas luar ruangan."
50	"Untuk penggunaan sehari-hari oke, tapi untuk acara formal masih kurang 'wow'."
